# %ECSV 0.9
# ---
# datatype:
# - name: Filename
#   datatype: string
# - name: EL
#   datatype: float64
# - name: PA
#   datatype: float64
# - name: RotAng
#   datatype: float64
# - name: GuiderCoord
#   datatype: string
# - name: ImageCoord
#   datatype: string
# - name: OffsetDistance
#   datatype: float64
# - name: OffsetAngle
#   datatype: float64
# schema: astropy-2.0
Filename EL PA RotAng GuiderCoord ImageCoord OffsetDistance OffsetAngle
m190515_0009.fits 30.2342282 -179.78003287 -358.36242947 "17:33:17.97 +79:32:15.96" "17:33:19.56 +79:38:58.59" 402.660004128959 0.3980755464134518
m190515_0010.fits 30.23098057 -179.77998347 -357.8939999 "17:33:17.97 +79:32:15.96" "17:33:19.58 +79:38:58.46" 402.526566710174 0.4051792417509432
m190515_0011.fits 30.23252948 -134.78006606 -309.67423043 "17:33:17.97 +79:32:15.96" "17:35:04.63 +79:36:56.37" 403.0131583456547 0.9078873206786966
m190515_0012.fits 30.21857488 -134.77994646 -308.84242806 "17:33:17.97 +79:32:15.96" "17:35:04.48 +79:36:56.63" 402.9016038712465 0.8408907906349441
m190515_0013.fits 30.28751459 -89.78011476 -263.13491711 "17:33:17.97 +79:32:15.96" "17:35:46.03 +79:32:08.19" 403.4193739087962 1.186544721941516
m190515_0014.fits 30.34665696 -44.78018196 -217.44030937 "17:33:17.97 +79:32:15.96" "17:35:00.89 +79:27:26.22" 403.90907041601923 0.8257520739469442
m190515_0015.fits 30.34968694 0.22005892 -171.69806275 "17:33:17.97 +79:32:15.96" "17:33:16.49 +79:25:32.36" 403.6183433523727 0.35125644927887834
m190515_0016.fits 30.28794119 45.22000347 -126.07168469 "17:33:17.97 +79:32:15.96" "17:31:32.99 +79:27:32.30" 403.51047924228544 -0.10040135271395911
m190515_0017.fits 30.18801106 90.22001799 -80.51575074 "17:33:17.97 +79:32:15.96" "17:30:50.01 +79:32:17.70" 402.98355922347065 -0.27532484830339854
m190515_0018.fits 30.17766972 90.2200348 -80.18435559 "17:33:17.97 +79:32:15.96" "17:30:50.01 +79:32:17.81" 402.9970698986373 -0.2592446581105037
m190515_0019.fits 30.09068745 135.21991245 -34.71091637 "17:33:17.97 +79:32:15.96" "17:31:33.63 +79:37:01.89" 402.3816764731901 -0.149633087740483
m190515_0020.fits 30.05689264 180.21994988 10.79396835 "17:33:17.97 +79:32:15.96" "17:33:19.58 +79:38:58.63" 402.69293282441527 0.40422327594785656
m190515_0021.fits 40.00589122 180.2200629 3.21220604 "18:04:58.80 +69:42:53.15" "18:04:59.64 +69:49:35.98" 402.85442502288475 0.3960386250685701
m190515_0022.fits 40.02160696 135.21996616 -41.1816977 "18:04:58.80 +69:42:53.15" "18:04:04.37 +69:47:40.72" 403.1295000743961 0.18058810309355522
m190515_0023.fits 40.08221055 90.22002234 -85.50174698 "18:04:58.80 +69:42:53.15" "18:03:41.27 +69:42:55.79" 403.21557547522036 0.0032349865148262325
m190515_0024.fits 40.14964385 45.21996897 -129.96750817 "18:04:58.80 +69:42:53.15" "18:04:03.64 +69:38:09.92" 403.5312503065562 0.09317911217709707
m190515_0025.fits 40.17497798 0.22010094 -174.45267853 "18:04:58.80 +69:42:53.15" "18:04:58.04 +69:36:09.34" 403.82878707052254 0.3448895334676081
m190515_0026.fits 40.13370317 -44.77991631 -218.8963097 "18:04:58.80 +69:42:53.15" "18:05:52.90 +69:38:03.86" 403.91309135076665 0.6297182552802383
m190515_0027.fits 40.04008766 -89.78004217 -263.30654702 "18:04:58.80 +69:42:53.15" "18:06:16.37 +69:42:47.63" 403.43586241777274 0.7162131616148031
m190515_0028.fits 39.92006499 -134.77995397 -307.24413761 "18:04:58.80 +69:42:53.15" "18:05:54.42 +69:47:34.45" 403.0744693114534 0.6309539320599242
m190515_0029.fits 39.827496 -179.7798942 -351.05732807 "18:04:58.80 +69:42:53.15" "18:04:59.61 +69:49:36.11" 402.98039903663476 0.37833037545954085
m190515_0030.fits 50.08554132 -179.77994001 -357.89489254 "18:31:15.69 +59:37:28.47" "18:31:16.23 +59:44:11.34" 402.8994314761304 0.35964913355883255
m190515_0031.fits 50.11249094 -134.78008605 -312.27704033 "18:31:15.69 +59:37:28.47" "18:31:53.74 +59:42:10.25" 403.15238349531546 0.5047255714766834
m190515_0032.fits 50.18013969 -89.77995245 -266.58610901 "18:31:15.69 +59:37:28.47" "18:32:08.84 +59:37:23.18" 403.1832324638557 0.6266464952776118
